Company,URL,IndustryCode,IndustryCodeDescription
Scope,https://www.scope.org.uk/,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Scott Racing Services Ltd,http://scottrace.com/,50,"(50)  Sale, Maint/Repair of Motor Vehicles/Cycles; Retail Sale of Automotive Fuel"
Scottish Women's Convention,https://www.scottishwomensconvention.org/,75,(75)  Public Administration and Defence; Compulsory Social Security
The Abbotsford Trading Company Ltd,http://www.scottsabbotsford.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Scott Whight Ltd,http://www.scottwhight.co.uk,74,(74)  Other Business Activities
Scubasolutions Ltd,http://www.scubasolutions.com,92,"(92)  Recreational, Cultural and Sporting Activities"
Samuel David Ltd,http://sdhair.co.uk/,93,(93)  Other Service Activities
Simon Dewhurst Photography Ltd,https://www.simondewhurstphoto.co.uk/,74,(74)  Other Business Activities
Sdw Construction Ltd,https://www.sdwconstructionltd.co.uk/,45,(45)  Construction
Sealand Projects Ltd,http://www.sealand-projects.com,74,(74)  Other Business Activities
Sealite (Uk) Ltd,http://sealiteuk.com/,31,(31)  Manufacture of Electrical Machinery and Apparatus Not Elsewhere Classified
Seal Metal Recycling Ltd,http://www.sealmetalrecycling.co.uk,90,"(90)  Sewage and Refuse Disposal, Sanitation and Similar Activities"
Seal Software Ltd,https://www.seal-software.com/,74,(74)  Other Business Activities
Seapine Software Ltd,https://www.perforce.com/products/helix-alm,72,(72)  Computer and Related Activities
Ashton Jones Ltd,http://www.search.co.uk,74,(74)  Other Business Activities
Sea Sea Shipping Ltd,http://www.seaseashipping.com,74,(74)  Other Business Activities
Seaspray (Shetland) Ltd,http://www.shetlandselect.co.uk,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
Seatrade Communications Ltd,http://www.seatrade-maritime.com/,22,"(22)  Publishing, Printing and Reproduction of Recorded Media"
Secureit (Wales) Ltd,http://www.secureituk.com,74,(74)  Other Business Activities
Securious Ltd,https://securious.co.uk/,72,(72)  Computer and Related Activities
Reliance Executive Ltd,https://www.securitas.uk.com/,74,(74)  Other Business Activities
Way Ahead Records,https://www.seetickets.com:443/,92,"(92)  Recreational, Cultural and Sporting Activities"
Bilton P.L.C.,http://www.segro.com,70,(70)  Real Estate Activities
Selcourt Planned Maintenance Ltd,http://www.selcourt.com,74,(74)  Other Business Activities
Select & Save,http://www.selectandsave.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Select Demolition Ltd,http://www.selectdemolition.co.uk,45,(45)  Construction
Select Lifestyles Ltd,http://www.selectlifestyles.co.uk,74,(74)  Other Business Activities
Select Refurbishment & Maintenance Ltd,http://www.selectrefurbishment.com,45,(45)  Construction
Select Resorts Properties Ltd,http://www.selectresorts.co.uk,55,(55)  Hotels and Restaurants
Select Salvage Ltd,http://www.selectvehiclespares.co.uk,50,"(50)  Sale, Maint/Repair of Motor Vehicles/Cycles; Retail Sale of Automotive Fuel"
C4-Uk Ltd,http://www.sellcar-uk.com,50,"(50)  Sale, Maint/Repair of Motor Vehicles/Cycles; Retail Sale of Automotive Fuel"
The Real Life 4 Me Trust,http://www.sellyoak.bham.sch.uk,80,(80)  Education
Semperian Ppp Investment Partners Ltd,http://www.semperian.co.uk,74,(74)  Other Business Activities
Sensible Security Ltd,http://www.sensiblesecurity.co.uk,72,(72)  Computer and Related Activities
Sentiro (Uk) Ltd,http://www.sentiro.com,64,(64)  Post and Telecommunications
The Separated Child Foundation,http://www.separatedchild.org,80,(80)  Education
Sephton Capital Llp,http://www.sephtoncapital.com,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Serendib Lanka Traders Ltd,http://serendib-lanka.co.uk/,63,(63)  Supporting & Auxiliary Transport Activities; Activities Of Travel Agencies
Walker Martyn (Holdings) Ltd,http://www.servicelinkdirect.com,72,(72)  Computer and Related Activities
Service Metals (Ireland) Ltd,http://www.servicemetals.co.uk,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
Data Transmission Corporation Ltd,http://www.servicesat.net,64,(64)  Post and Telecommunications
Servon Design Ltd,https://www.servondesign.co.uk/,72,(72)  Computer and Related Activities
